"order_id","order_date","ship_date","ship_mode_id","customer_id","city_id","postal_code"
"CA-2021-141789","2021/10/3","2021/10/6","1","AC-10450","349","55407"
"CA-2021-157350","2021/8/26","2021/9/1","4","DP-13000","91","60610"
"CA-2021-132353","2021/9/15","2021/9/17","1","DB-13060","91","60653"
"CA-2021-114370","2021/3/14","2021/3/17","3","BN-11470","91","60623"
"CA-2019-161830","2019/9/24","2019/9/26","3","ME-17725","518","98105"
"CA-2019-152513","2019/7/4","2019/7/8","3","JP-16135","503","92024"
"CA-2020-112676","2020/5/5","2020/5/8","1","PJ-18835","368","37130"
"US-2018-117135","2018/6/21","2018/6/23","3","NP-18325","582","22980"
"US-2019-153500","2019/7/3","2019/7/5","1","DG-13300","431","19134"
"CA-2021-157987","2021/9/2","2021/9/6","4","AC-10615","381","10009"
"US-2020-142685","2020/6/23","2020/6/30","4","MG-17695","66","14215"
"CA-2021-164364","2021/11/12","2021/11/16","4","CS-12355","518","98115"
"CA-2020-101630","2020/2/19","2020/2/23","3","CK-12760","309","11561"
"CA-2020-116911","2020/9/15","2020/9/20","4","JD-16150","563","83301"
"CA-2019-130736","2019/12/7","2019/12/9","1","JF-15490","518","98105"
"CA-2021-136238","2021/12/26","2022/1/1","4","KB-16240","399","79762"
"CA-2019-111038","2019/12/1","2019/12/6","4","LC-16960","503","92037"
"CA-2020-112123","2020/3/3","2020/3/8","4","BH-11710","382","19711"
"CA-2018-139283","2018/11/23","2018/11/27","4","BT-11440","144","48227"
"CA-2020-133816","2020/5/10","2020/5/13","3","CS-12400","431","19134"
"US-2021-108063","2021/12/2","2021/12/5","1","AS-10090","86","22901"
"CA-2020-162222","2020/4/3","2020/4/3","2","SR-20740","127","75081"
"CA-2018-103100","2018/12/20","2018/12/23","1","AB-10105","245","46203"
"CA-2021-135937","2021/2/20","2021/2/27","4","KM-16375","198","85234"
"CA-2019-139374","2019/9/10","2019/9/14","4","AR-10345","31","78745"
"CA-2018-104808","2018/2/4","2018/2/8","3","MH-17440","166","92025"
"CA-2019-104129","2019/2/27","2019/3/2","4","ES-14080","447","2908"
"US-2020-151862","2020/3/1","2020/3/8","4","ON-18715","140","80219"
"CA-2018-139633","2018/12/17","2018/12/24","4","EC-14050","110","43229"
"CA-2021-121048","2021/7/14","2021/7/18","4","TC-21295","588","92683"
"CA-2018-100972","2018/11/19","2018/11/24","3","DB-13360","498","84106"
"CA-2021-160661","2021/10/28","2021/11/1","4","SA-20830","169","2149"
"CA-2020-130477","2020/4/8","2020/4/12","4","LC-17140","313","90032"
"CA-2020-168354","2020/9/19","2020/9/21","1","RH-19510","447","2908"
"CA-2021-166898","2021/9/11","2021/9/13","3","KH-16630","512","92704"
"CA-2019-103205","2019/12/8","2019/12/10","3","JJ-15760","240","77036"
"US-2018-143231","2018/12/31","2019/1/3","1","GM-14455","185","2038"
"CA-2021-140802","2021/4/21","2021/4/23","1","KN-16390","240","77070"
"US-2020-163258","2020/12/29","2021/1/2","4","PF-19225","313","90045"
"CA-2018-165540","2018/2/21","2018/2/25","4","TM-21010","599","60098"
"CA-2021-127803","2021/5/19","2021/5/23","4","ND-18460","242","35810"
"CA-2020-148201","2020/8/26","2020/8/29","3","CC-12145","518","98103"
"CA-2018-112718","2018/12/16","2018/12/21","4","KN-16450","252","32216"
"CA-2019-113110","2019/3/19","2019/3/23","4","BK-11260","501","92404"
"CA-2018-151967","2018/10/22","2018/10/26","4","NB-18580","52","71111"
"CA-2021-125878","2021/2/25","2021/3/2","4","MH-18025","91","60623"
"CA-2018-105172","2018/4/4","2018/4/9","4","PK-18910","504","94109"
"CA-2021-149468","2021/5/20","2021/5/20","2","AR-10405","557","48183"
"CA-2021-117807","2021/10/1","2021/10/7","4","DK-13090","190","68025"
"CA-2018-126802","2018/12/29","2019/1/5","4","ZC-21910","91","60610"
"CA-2021-111577","2021/10/16","2021/10/21","4","AJ-10780","517","85254"
"CA-2019-153549","2019/3/29","2019/3/31","3","SL-20155","252","32216"
"CA-2018-158064","2018/4/21","2018/4/25","4","AA-10375","313","90008"
"CA-2021-152926","2021/10/2","2021/10/4","3","SC-20695","240","77041"
"US-2019-157014","2019/10/3","2019/10/6","3","BM-11785","110","43229"
"CA-2018-106376","2018/12/5","2018/12/10","4","BS-11590","198","85234"
"CA-2019-111325","2019/2/27","2019/2/28","1","BT-11395","8","16602"
"CA-2018-138198","2018/7/18","2018/7/23","4","JL-15130","380","10801"
"CA-2021-168123","2021/3/5","2021/3/5","2","JD-16060","472","55901"
"CA-2019-142419","2019/7/11","2019/7/13","3","SC-20380","518","98115"
"CA-2018-124023","2018/4/7","2018/4/10","1","PJ-19015","355","36608"
"CA-2019-169299","2019/8/24","2019/8/26","1","DO-13435","446","97206"
"CA-2018-120768","2018/12/19","2018/12/21","3","IM-15070","178","35630"
"US-2018-169390","2018/2/7","2018/2/10","3","CS-12250","381","10024"
"CA-2021-154102","2021/2/6","2021/2/13","4","SN-20560","504","94109"
"CA-2018-111360","2018/11/24","2018/11/30","4","AT-10435","3","44312"
"CA-2018-109043","2018/8/15","2018/8/17","1","CS-12355","235","33021"
"CA-2018-130624","2018/6/21","2018/6/24","1","TB-21280","381","10024"
"CA-2021-146024","2021/3/2","2021/3/8","4","SC-20770","127","75081"
"US-2019-110261","2019/12/19","2019/12/23","3","PR-18880","201","60025"
"US-2020-157945","2020/9/26","2020/10/1","4","NF-18385","136","62521"
"CA-2018-122609","2018/11/12","2018/11/18","4","DP-13000","78","75007"
"CA-2021-133648","2021/6/25","2021/7/2","4","ML-17755","533","97477"
"CA-2020-132990","2020/8/1","2020/8/3","3","KM-16660","431","19140"
"CA-2021-164329","2021/1/30","2021/1/30","2","MM-17920","504","94109"
"US-2020-164945","2020/11/22","2020/11/27","4","CA-12055","381","10009"
"CA-2020-108616","2020/9/29","2020/10/3","4","JK-15730","355","36608"
"US-2019-103471","2019/12/24","2019/12/28","4","JR-15670","103","80906"
"CA-2020-163986","2020/9/3","2020/9/10","4","JJ-15445","580","53186"
"CA-2019-127593","2019/9/21","2019/9/21","2","DH-13675","451","2169"
"CA-2021-113873","2021/11/13","2021/11/19","4","KE-16420","127","75220"
"CA-2021-163160","2021/10/13","2021/10/16","1","TS-21610","188","61032"
"CA-2021-155712","2021/3/2","2021/3/8","4","KD-16615","313","90008"
"CA-2020-157161","2020/7/16","2020/7/20","3","JD-15895","106","29203"
"CA-2020-116379","2020/11/7","2020/11/12","4","LD-17005","504","94122"
"CA-2021-112515","2021/9/17","2021/9/21","3","AS-10225","448","84604"
"US-2019-163783","2019/12/27","2020/1/1","4","DR-12940","91","60610"
"CA-2018-120096","2018/7/4","2018/7/7","1","KE-16420","29","80013"
"US-2020-135720","2020/12/11","2020/12/13","3","FM-14380","29","80013"
"CA-2018-115812","2018/6/9","2018/6/14","4","BH-11710","313","90032"
"US-2019-150161","2019/7/25","2019/7/29","4","RB-19795","431","19143"
"CA-2018-135755","2018/5/3","2018/5/10","4","NC-18415","601","10701"
"CA-2021-159464","2021/5/18","2021/5/19","1","TB-21355","510","30328"
"CA-2018-135657","2018/6/3","2018/6/7","3","SC-20725","518","98115"
"CA-2019-152891","2019/10/25","2019/10/30","4","TB-21625","504","94110"
"CA-2021-123624","2021/11/13","2021/11/17","3","SE-20110","413","93030"
"CA-2018-163468","2018/11/18","2018/11/21","1","JK-15730","143","60016"
"CA-2021-124191","2021/6/12","2021/6/14","3","TS-21610","91","60610"
"CA-2020-164672","2020/5/8","2020/5/13","3","GB-14530","145","19901"
"CA-2020-142398","2020/4/12","2020/4/16","4","BP-11290","313","90036"
"CA-2018-100293","2018/3/14","2018/3/18","4","NF-18475","252","32216"
"CA-2020-104157","2020/7/25","2020/7/29","4","MT-17815","250","39212"
"CA-2021-157903","2021/4/4","2021/4/8","4","AM-10705","143","60016"
"CA-2018-124702","2018/11/18","2018/11/25","4","MH-17785","518","98105"
"CA-2021-132647","2021/2/17","2021/2/23","4","GH-14410","429","8861"
"CA-2021-167101","2021/3/24","2021/3/28","3","BM-11650","381","10009"
"CA-2019-130995","2019/11/1","2019/11/6","4","QJ-19255","381","10009"
"CA-2021-147228","2021/9/9","2021/9/14","4","SO-20335","107","38401"
"CA-2019-165813","2019/3/20","2019/3/22","3","BM-11785","495","97301"
"CA-2020-126627","2020/10/10","2020/10/12","1","WB-21850","270","77571"
"US-2018-143721","2018/11/23","2018/11/26","3","DK-12835","240","77095"
"CA-2021-134152","2021/5/27","2021/5/31","4","RP-19855","518","98103"
"CA-2018-154669","2018/8/8","2018/8/11","3","TM-21010","567","95687"
"CA-2020-130638","2020/5/16","2020/5/19","3","SC-20095","313","90045"
"CA-2020-129238","2020/1/31","2020/2/4","4","SC-20050","313","90045"
"CA-2021-147844","2021/5/2","2021/5/6","4","DD-13570","313","90049"
"CA-2021-128370","2021/9/10","2021/9/10","2","FH-14275","313","90004"
"CA-2020-164035","2020/6/12","2020/6/17","4","CR-12730","91","60610"
"CA-2020-105207","2020/1/3","2020/1/8","4","BO-11350","61","74012"
"CA-2020-161207","2020/8/29","2020/9/3","4","AB-10060","113","3301"
"CA-2019-104871","2019/3/30","2019/4/3","4","DR-12940","388","61761"
"CA-2020-160234","2020/6/26","2020/7/3","4","PF-19225","24","30318"
"CA-2020-125318","2020/6/6","2020/6/13","4","RC-19825","91","60610"
"US-2020-123610","2020/5/12","2020/5/16","4","VM-21835","352","92691"
"CA-2020-161389","2020/12/5","2020/12/10","4","IM-15070","518","98103"
"CA-2018-140165","2018/5/13","2018/5/15","1","EH-14005","230","33012"
"CA-2019-115420","2019/4/25","2019/5/2","4","LS-16945","313","90004"
"CA-2021-124086","2021/2/10","2021/2/14","4","MP-18175","274","92677"
"CA-2021-136651","2021/4/23","2021/4/25","3","JF-15355","419","91104"
"CA-2018-102330","2018/12/29","2019/1/3","4","AI-10855","57","94513"
"US-2019-168935","2019/11/27","2019/12/2","4","DO-13435","425","33024"
"CA-2020-163174","2020/8/26","2020/8/30","4","XP-21865","23","30605"
"CA-2018-159681","2018/12/7","2018/12/13","4","PO-18850","571","23464"
"CA-2020-109344","2020/2/8","2020/2/11","3","CH-12070","452","27604"
"CA-2020-166912","2020/1/15","2020/1/17","1","BE-11335","381","10009"
"CA-2021-169054","2021/4/22","2021/4/26","4","MO-17800","431","19140"
"CA-2019-142755","2019/9/4","2019/9/8","4","CS-12355","483","30076"
"CA-2019-112116","2019/3/16","2019/3/18","3","JE-15475","518","98103"
"CA-2018-164910","2018/11/12","2018/11/17","3","DM-13345","22","28806"
"CA-2019-130876","2019/5/12","2019/5/16","3","AZ-10750","381","10024"
"US-2018-158638","2018/9/17","2018/9/21","4","AG-10765","431","19120"
"CA-2021-151008","2021/9/7","2021/9/8","1","JM-16195","147","84020"
"CA-2018-156244","2018/8/12","2018/8/16","4","DH-13675","344","33180"
"CA-2021-138163","2021/11/17","2021/11/20","1","XP-21865","169","2149"
"CA-2019-142041","2019/6/7","2019/6/9","3","EM-13810","313","90036"
"US-2020-125969","2020/11/6","2020/11/10","3","LS-16975","313","90004"
"CA-2018-124646","2018/6/22","2018/6/24","1","DV-13465","349","55407"
"US-2021-120089","2021/11/30","2021/11/30","2","ML-17755","555","43615"
"US-2019-120502","2019/4/13","2019/4/19","4","BT-11395","313","90036"
"CA-2021-162691","2021/8/1","2021/8/7","4","AS-10045","31","78745"
"CA-2021-144568","2021/5/29","2021/6/2","4","JO-15550","403","68104"
"CA-2018-150798","2018/12/1","2018/12/3","3","JK-15730","110","43229"
"CA-2021-102974","2021/9/19","2021/9/24","4","DP-13105","313","90032"
"CA-2020-134544","2020/3/17","2020/3/19","3","AC-10660","504","94109"
"CA-2021-167150","2021/12/10","2021/12/17","4","BP-11185","503","92037"
"CA-2018-155271","2018/5/4","2018/5/4","2","AA-10480","345","6457"
"CA-2019-154340","2019/11/29","2019/11/30","1","EK-13795","512","92704"
"US-2019-138303","2019/9/3","2019/9/7","4","MG-18145","431","19134"
"US-2019-157154","2019/1/10","2019/1/15","4","MM-17920","381","10011"
"CA-2018-165379","2018/7/9","2018/7/15","4","BM-11650","127","75217"
"CA-2020-109827","2020/12/25","2021/1/1","4","LW-16825","432","85023"
"CA-2019-103954","2019/8/9","2019/8/13","3","HR-14770","348","53209"
"CA-2018-125759","2018/2/8","2018/2/9","1","NM-18445","391","89031"
"US-2018-167262","2018/10/31","2018/11/3","3","AC-10450","32","85323"
"CA-2020-136595","2020/9/5","2020/9/7","1","EM-13825","240","77036"
"CA-2020-141082","2020/12/9","2020/12/13","4","FM-14380","292","1841"
"US-2020-131912","2020/10/29","2020/11/1","3","LH-17155","313","90008"
"CA-2021-140585","2021/12/18","2021/12/23","3","RA-19915","164","92024"
"CA-2021-159884","2021/8/31","2021/9/5","4","JF-15490","546","85281"
"CA-2021-100748","2021/5/13","2021/5/20","4","RB-19795","504","94110"
"CA-2021-110443","2021/11/21","2021/11/25","4","CK-12205","463","98059"
"CA-2019-102778","2019/11/21","2019/11/24","1","JH-15820","358","28110"
"CA-2020-102596","2020/12/27","2020/12/30","1","RD-19810","3","44312"
"CA-2019-103933","2019/9/25","2019/9/27","1","DR-12880","381","10011"
"CA-2019-134082","2019/12/11","2019/12/17","4","JK-15640","501","92404"
"CA-2021-133641","2021/5/14","2021/5/21","4","EJ-14155","215","39503"
"CA-2020-123617","2020/11/28","2020/12/3","4","AJ-10780","415","32137"
"CA-2018-114517","2018/12/23","2018/12/27","4","TH-21235","381","10024"
"CA-2021-143126","2021/12/3","2021/12/7","3","CM-12655","518","98115"
"CA-2021-113460","2021/11/7","2021/11/9","3","KN-16390","99","20735"
"CA-2019-109638","2019/12/15","2019/12/22","4","JH-15985","518","98115"
"CA-2020-112340","2020/10/21","2020/10/27","4","NM-18520","470","92503"
"US-2020-155404","2020/9/22","2020/9/28","4","AS-10630","315","40214"
"CA-2020-126102","2020/9/10","2020/9/12","3","DV-13465","313","90049"
"CA-2018-141152","2018/9/16","2018/9/19","1","RF-19345","381","10024"
"CA-2018-169033","2018/3/30","2018/4/3","4","KM-16720","309","11561"
"CA-2019-136735","2019/7/26","2019/8/2","4","HA-14920","504","94110"
"CA-2018-140032","2018/9/8","2018/9/13","4","TS-21340","504","94109"
"CA-2018-126333","2018/12/23","2018/12/28","4","ME-18010","442","77642"
"CA-2020-152632","2020/10/27","2020/11/2","4","JE-15475","558","12180"
"CA-2019-151470","2019/9/20","2019/9/26","4","AM-10705","289","89115"
"CA-2019-124268","2019/7/4","2019/7/8","4","AD-10180","381","10035"
"CA-2018-126403","2018/9/9","2018/9/12","3","RR-19525","317","1852"
"US-2018-137680","2018/2/24","2018/3/2","4","JH-15430","335","97504"
"US-2021-136707","2021/11/12","2021/11/15","1","JE-15610","313","90036"
"CA-2021-128160","2021/12/19","2021/12/24","3","MM-17920","504","94110"
"CA-2020-144309","2020/12/10","2020/12/16","4","CM-12235","579","13601"
"CA-2020-146633","2020/11/15","2020/11/17","3","TG-21310","313","90049"
"US-2021-110149","2021/12/10","2021/12/13","1","WB-21850","431","19143"
"CA-2018-124513","2018/9/21","2018/9/25","4","SL-20155","381","10011"
"US-2021-115609","2021/11/2","2021/11/7","4","CS-12505","313","90036"
"CA-2020-108224","2020/5/14","2020/5/14","2","TH-21235","604","85364"
"CA-2018-140228","2018/4/28","2018/5/3","4","GB-14530","383","43055"
"US-2019-158589","2019/11/20","2019/11/24","4","KW-16570","504","94109"
"CA-2018-117765","2018/9/7","2018/9/13","4","RB-19465","561","74133"
"CA-2021-160122","2021/11/18","2021/11/23","4","RD-19930","91","60623"
"CA-2019-122266","2019/4/26","2019/4/30","4","SA-20830","132","32114"
"CA-2018-169061","2018/3/5","2018/3/8","3","AB-10150","601","10701"
"CA-2021-155047","2021/8/27","2021/8/30","1","SE-20110","127","75220"
"CA-2021-155740","2021/7/30","2021/8/2","1","TC-21475","282","44107"
"CA-2018-127159","2018/5/12","2018/5/15","1","HL-15040","348","53209"
"CA-2021-144638","2021/3/10","2021/3/14","4","MH-18115","89","19013"
"CA-2020-109057","2020/4/22","2020/4/27","4","TT-21460","30","60505"
"CA-2021-157252","2021/1/20","2021/1/23","3","CV-12805","381","10024"
"CA-2018-158372","2018/11/10","2018/11/16","4","RD-19900","503","92037"
"CA-2018-133305","2018/7/11","2018/7/15","4","MH-17455","381","10011"
"US-2020-144547","2020/11/10","2020/11/14","4","MS-17770","240","77036"
"CA-2021-112725","2021/1/30","2021/2/6","4","EH-14125","504","94110"
"CA-2019-126445","2019/8/27","2019/8/31","4","RA-19945","371","92563"
"CA-2020-150658","2020/11/17","2020/11/22","4","MS-17365","76","88220"
"US-2021-130603","2021/9/30","2021/10/6","4","SC-20050","19","76017"
"CA-2020-119074","2020/3/27","2020/3/31","4","DS-13180","108","31907"
"CA-2019-139780","2019/12/31","2020/1/2","3","AH-10690","144","48205"
"US-2021-139647","2021/5/11","2021/5/13","1","TS-21370","432","85023"
"CA-2018-126277","2018/9/13","2018/9/18","3","LH-16900","110","43229"
"CA-2021-155362","2021/12/17","2021/12/21","4","DP-13105","155","54703"
"CA-2021-136000","2021/9/22","2021/9/25","3","SC-20440","381","10009"
"CA-2021-168403","2021/9/9","2021/9/15","4","DK-12835","446","97206"
"CA-2019-131422","2019/11/5","2019/11/9","4","GB-14530","358","28110"
"CA-2021-137624","2021/11/10","2021/11/17","4","ME-17320","313","90008"
"CA-2021-100811","2021/11/21","2021/11/24","1","CC-12475","431","19143"
"CA-2019-113523","2019/9/4","2019/9/8","4","SC-20440","431","19140"
"CA-2018-148614","2018/1/20","2018/1/25","4","MV-17485","313","90049"
"CA-2020-109820","2020/11/20","2020/11/22","1","AG-10390","94","45231"
"CA-2019-108259","2019/11/8","2019/11/15","4","NS-18640","253","28540"
"CA-2019-134117","2019/12/17","2019/12/19","3","PG-18895","313","90008"
"CA-2018-143840","2018/5/22","2018/5/29","4","EH-14185","135","35601"
"CA-2019-169278","2019/5/21","2019/5/25","4","ME-18010","518","98105"
"CA-2019-111395","2019/11/23","2019/11/27","4","VB-21745","500","78207"
"CA-2019-144267","2019/8/21","2019/8/23","1","NZ-18565","504","94110"
"CA-2020-112256","2020/7/23","2020/7/28","4","CK-12205","334","78501"
"US-2021-118598","2021/11/16","2021/11/16","2","CM-12190","566","13501"
"CA-2019-102722","2019/4/18","2019/4/19","1","KW-16570","357","71203"
"CA-2021-137456","2021/12/21","2021/12/21","2","RB-19465","190","68025"
"US-2021-169320","2021/7/23","2021/7/25","3","LH-16900","161","46514"
"CA-2020-116799","2020/3/3","2020/3/6","1","JG-15310","399","79762"
"CA-2019-141040","2019/10/9","2019/10/13","3","TB-21250","381","10024"
"CA-2021-134194","2021/12/25","2022/1/1","4","GA-14725","127","75081"
"CA-2018-109134","2018/11/5","2018/11/10","4","DE-13255","313","90008"
"CA-2018-110422","2018/1/21","2018/1/23","3","TB-21400","344","33180"
"US-2020-123470","2020/8/15","2020/8/21","4","ME-17725","29","80013"
"US-2018-120175","2018/11/28","2018/12/3","4","MC-17635","466","47374"
"CA-2021-152079","2021/1/20","2021/1/21","1","ML-17410","91","60653"
"CA-2020-110023","2020/9/9","2020/9/11","1","TS-21610","381","10024"
"CA-2019-130365","2019/4/25","2019/4/29","4","ZC-21910","30","60505"
"CA-2021-125199","2021/10/19","2021/10/25","4","HM-14860","431","19120"
"CA-2020-167605","2020/4/28","2020/4/30","3","RB-19570","488","60174"
"CA-2019-166947","2019/6/5","2019/6/10","4","EB-13750","66","14215"
"CA-2018-150329","2018/10/10","2018/10/14","4","SD-20485","432","85023"
"US-2018-151925","2018/9/26","2018/10/1","3","KT-16465","313","90049"
"US-2020-106677","2020/11/5","2020/11/10","4","AS-10285","431","19134"
"US-2021-109316","2021/6/8","2021/6/10","1","MG-17680","313","90049"
"CA-2021-164168","2021/11/12","2021/11/18","4","LS-16975","127","75081"
"CA-2018-120670","2018/11/2","2018/11/6","4","JK-16120","182","33311"
"CA-2021-138380","2021/12/21","2021/12/25","4","YS-21880","396","94601"
"CA-2019-125976","2019/9/27","2019/10/2","4","JK-15205","20","22204"
"CA-2021-147550","2021/12/4","2021/12/5","1","KE-16420","431","19134"
"US-2021-161193","2021/11/20","2021/11/26","4","BT-11680","383","43055"
"CA-2019-121608","2019/9/3","2019/9/5","1","JB-15400","59","6010"
"US-2021-119816","2021/3/4","2021/3/6","3","TT-21460","240","77095"
"CA-2019-117898","2019/12/5","2019/12/11","4","TB-21250","47","61701"
"CA-2019-131758","2019/5/28","2019/6/1","4","KB-16315","189","11520"
"CA-2021-136672","2021/3/7","2021/3/12","4","MG-17890","99","20735"
"CA-2020-166282","2020/4/16","2020/4/22","4","PK-19075","375","37211"
"CA-2021-152660","2021/12/4","2021/12/9","4","CB-12415","91","60610"
"CA-2019-127502","2019/12/10","2019/12/14","4","MT-17815","504","94110"
"CA-2019-127607","2019/3/20","2019/3/26","4","JK-15730","78","75007"
"CA-2018-115980","2018/7/15","2018/7/19","4","VW-21775","522","57103"
"CA-2020-118913","2020/6/25","2020/6/29","4","AS-10240","313","90049"
"CA-2020-118052","2020/5/6","2020/5/10","4","BE-11455","312","44052"
"US-2019-117492","2019/8/7","2019/8/9","1","NS-18640","34","21215"
"CA-2021-102414","2021/5/15","2021/5/18","3","JA-15970","432","85023"
"CA-2020-137729","2020/5/5","2020/5/9","4","BF-11005","313","90004"
"CA-2021-117702","2021/11/28","2021/12/4","4","LS-16975","34","21215"
"CA-2018-146640","2018/6/30","2018/7/5","4","HA-14905","381","10024"
"CA-2018-157546","2018/7/20","2018/7/22","1","RD-19720","504","94122"
"US-2019-115343","2019/9/22","2019/9/25","1","FO-14305","431","19143"
"CA-2020-140613","2020/7/22","2020/7/29","4","KN-16705","528","89431"
"CA-2018-146500","2018/8/30","2018/9/4","4","AT-10735","59","6010"
"CA-2020-152520","2020/7/8","2020/7/12","4","TH-21115","447","2908"
"CA-2020-120796","2020/4/3","2020/4/7","4","CS-11950","431","19140"
"CA-2021-134915","2021/11/12","2021/11/12","2","EM-14140","200","85301"
"US-2021-128447","2021/11/10","2021/11/17","4","MC-17845","421","99301"
"CA-2020-142335","2020/12/15","2020/12/19","4","MP-17965","144","48205"
"CA-2020-140249","2020/9/27","2020/10/3","4","SW-20455","518","98103"
"CA-2019-105221","2019/11/1","2019/11/3","1","VM-21685","431","19140"
"CA-2018-110352","2018/11/23","2018/11/29","4","ED-13885","240","77036"
"CA-2020-144092","2020/11/5","2020/11/7","3","LH-17155","506","95123"
"CA-2021-125640","2021/7/25","2021/7/29","4","DD-13570","431","19134"
"CA-2018-129147","2018/11/2","2018/11/6","4","LC-17050","336","44256"
"CA-2019-150714","2019/10/26","2019/11/1","4","KH-16690","533","97477"
"CA-2019-168088","2019/3/19","2019/3/22","1","CM-12655","240","77041"
"CA-2020-131968","2020/11/11","2020/11/15","4","LB-16795","14","32712"
"CA-2020-115525","2020/7/25","2020/7/29","4","RR-19525","555","43615"
"CA-2020-159737","2020/9/3","2020/9/9","4","CS-11950","91","60610"
"CA-2021-107342","2021/12/17","2021/12/22","4","VF-21715","109","47201"
"CA-2019-140221","2019/3/5","2019/3/9","3","MS-17365","91","60653"
"CA-2021-114524","2021/3/31","2021/4/5","3","EG-13900","91","60623"
"CA-2018-101462","2018/4/20","2018/4/25","4","BP-11230","313","90045"
"US-2018-166310","2018/9/21","2018/9/23","1","JS-15940","195","75043"
"CA-2018-164861","2018/12/3","2018/12/6","3","MC-17635","491","63116"
"CA-2020-108350","2020/6/6","2020/6/9","3","SC-20230","317","1852"
"US-2020-138408","2020/11/18","2020/11/21","3","KC-16255","242","35810"
"CA-2020-132017","2020/9/26","2020/9/27","1","MH-17620","240","77041"
"CA-2021-102267","2021/11/30","2021/12/4","4","SC-20800","156","78539"
"US-2021-120418","2021/6/11","2021/6/12","1","BC-11125","427","85345"
"CA-2021-104010","2021/4/23","2021/4/25","1","TD-20995","381","10011"
"CA-2018-106229","2018/6/7","2018/6/11","3","NR-18550","30","60505"
"CA-2021-128783","2021/9/7","2021/9/7","2","TG-21640","489","63301"
"CA-2020-147431","2020/2/2","2020/2/7","4","AB-10105","381","10011"
"US-2019-114741","2019/12/6","2019/12/10","4","IL-15100","391","89031"
"CA-2020-144337","2020/8/1","2020/8/5","3","SG-20890","9","79109"
"US-2020-153815","2020/11/6","2020/11/9","1","KL-16555","252","32216"
"US-2021-130687","2021/9/7","2021/9/10","1","PF-19225","158","98026"
